config-benchmark;totalCycles;totalCommitted;totalBranches;totalBranchLatency;totalMispredicts;totalFilledMSHRs;totalMemAccesses;totalHitsInCache;totalMissesInCache;totalTaintsCalced;totalYrotsOnCalc;totalTaintedLoads;totalFilledIntIssueSlots;totalFilledFpIssueSlots;totalFilledMemIssueSlots;totalStallIFURedirect;totalStallROCCWait;totalStallWaitForEmpty;totalStallRenStall;totalStallIssueFull;totalStallSTQFull;totalStallLSQFull;totalStallROBNotReady
stt-rename-519.lbm;8318731410;7121582960;122783556;4781181136;1882091;30251990544;4666846860;2092953290;1752691479;7246457127;6177171241;27234578;29677628096;172421445689;5911253756;63447817;67827099;1180901792;375822855;789434437;597475814;241971295;1135271114
stt-rename-520.omnetpp;8315976514;5025674787;773623443;27245678572;73662068;5708514888;2864631438;2290597659;468472869;7431856503;4605951898;594141219;62936753927;308525851;48792383537;1148259480;100451431;1155756419;2179375;33964329;155196869;162779306;2662592606
stt-rename-521.wrf;8317408663;5923262643;444196633;7788879967;11647936;4669064512;2392638001;1866843412;455141049;6315398839;4391517815;184253719;26142717368;62067868887;18310633965;170319497;117201402;3715533932;32365589;26984845;200564302;504592588;4410773306
stt-rename-523.xalancbmk;8317021963;3698448171;842581277;90219968410;20394704;7587939378;1737100793;1274873763;599468325;4404978323;2515518831;508878568;155052970967;2352870;80400075447;323269704;50174081;1080792943;6840711;90424695;96009470;338304618;2258652764
stt-rename-525.x264;8315378938;14900104700;512779988;6696063211;22029517;1808855559;5699889014;4921802987;262513942;16104828444;11249070045;190760227;53820453602;476575040;36327586690;451324652;432577151;1319181072;239686820;49570127;670488255;353902891;1825595839
stt-rename-527.cam4;8317968742;7165147559;2071877285;70923401269;9743919;4374840765;2931400837;2173434900;660950088;7696368833;5884542937;126179905;78730605692;4140996518;20575517146;306014735;55179377;1544160994;101376387;19251497;507981639;93354057;3623557065
stt-rename-531.deepsjeng;8318818069;7774898021;754744176;17342789086;69841506;3109465110;3803309870;2996029909;401282601;11042175694;6849932367;373061791;65312174757;31404;24951379098;663445898;109048564;1283249741;169958589;7687785;769358612;111938918;2325346942
stt-rename-538.imagick;8318715167;19261668695;1730820514;31045441758;2532363;7528339569;6443232879;3434033172;2805387944;19481117435;8044609471;64633602;75272752592;166801246520;9336609038;121873690;662029041;1404638429;485849;126568199;81872421;23153611;1339638148
stt-rename-541.leela;8320786292;8705334444;723564219;27161722425;105910825;1061611918;2894113264;2461292836;166587007;12964367142;7306602392;960858490;110245972843;148990706;38435360833;355242124;84364165;1029195013;145573646;205174891;106530597;88734129;1441862840
stt-rename-544.nab;8317696167;5793266670;931393673;26130808657;106946092;1558529305;2533186199;2206411353;188805454;9971743607;6649136395;529796534;67618448323;31140188107;44591280082;588141691;114000062;1164797113;10698689;2431539;621654503;1492640412;2221241164
stt-rename-548.exchange2;8319301937;10581769922;1455728112;35877546345;71718067;17473669;4066145176;3946903557;1980107;13936404192;6951945038;841316565;74722725101;44863;72530940906;337938036;198595759;1019554735;351755709;134282845;82249991;96357389;1859903612
stt-rename-549.fotonik3d;8316911338;8178038155;1296909519;28918202186;53232253;187351298;3313768122;3067805474;23096575;9864768625;6290503526;576065769;58177944102;2252767;34112690923;797963145;131654448;1080284918;344083;763846;111241860;234978745;3064556764
stt-rename-554.roms;8318763059;5806311859;311469746;4812003546;4039931;7917068221;4108544974;2282649133;1214143220;6341116423;4863607385;90173902;26151267114;96909194876;12298880588;513245462;128406494;1449227994;8685970;126744660;1188572414;1386339389;2455904085
stt-rename-557.xz;8318087404;8599794344;865188731;15528746058;87375746;1858513201;2156883170;1728766246;258600237;13236210630;8080631164;257416819;82327988183;29318;19025847270;440261092;26702888;1487171167;27891028;25078386;364119084;9156512;1746997402
